Treatment,Nucleus Mean Intensity,Nucleus Area Size,Nucleus Roundness,Nucleus Texture Variance,Texture_Variance_DNA_3_00_256,Texture_Variance_DNA_3_01_256,Texture_Variance_DNA_3_02_256,Texture_Variance_DNA_3_03_256
control,0.026412382,13694,0.581314871,0.709161385,0.711820013,0.709696488,0.706941869,0.708187169
control,0.023315472,13050,0.727290793,1.15676624,1.1608707,1.156065795,1.154976301,1.155152163
control,0.019163632,15326,0.675616972,0.266983768,0.266499121,0.26578671,0.267632473,0.26801677
control,0.020529453,21266,0.763406978,0.401245124,0.400423164,0.396359211,0.4043041,0.40389402
control,0.023267852,19649,0.709409129,0.62622243,0.626510473,0.621497673,0.630900297,0.625981278
control,0.036216481,19692,0.895903326,0.717036169,0.719372448,0.715255745,0.717410073,0.716106412
control,0.035941331,12173,0.446565453,1.970332689,2.003050423,1.945712509,1.989438247,1.943129578
control,0.026858307,14608,0.315454347,1.054077575,1.053823147,1.055894808,1.058797155,1.047795188
control,0.046460465,19863,0.710120417,4.781697968,4.893256497,4.710947323,4.764867394,4.75772066
control,0.043095625,13286,0.422381028,6.869348082,6.891395729,6.853615635,6.868457449,6.863923517
control,0.034801917,14228,0.460708548,0.959564276,0.960817355,0.95690938,0.968695255,0.951835112
control,0.033688689,23776,0.88140088,3.431119949,3.441817425,3.415084665,3.440533281,3.427044423
control,0.055847137,18647,0.277253169,11.22887361,11.36045744,11.09998089,11.37507108,11.07998501
